=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 1.5, 'k': 7}
Total Time: 16.83 s
Total Steps: 412 steps
Max Time: 1.68
Average Steps: 10.3
Average Time: 0.42 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 0.32
Instance: 1,   Steps: 10,  time: 0.55
Instance: 2,   Steps: 8,  time: 0.07
Instance: 3,   Steps: 11,  time: 1.68
Instance: 4,   Steps: 14,  time: 1.32
Instance: 5,   Steps: 12,  time: 0.04
Instance: 6,   Steps: 10,  time: 0.17
Instance: 7,   Steps: 12,  time: 0.49
Instance: 8,   Steps: 10,  time: 0.33
Instance: 9,   Steps: 3,  time: 0.01
Instance: 10,   Steps: 9,  time: 0.04
Instance: 11,   Steps: 11,  time: 0.12
Instance: 12,   Steps: 14,  time: 1.4
Instance: 13,   Steps: 11,  time: 0.18
Instance: 14,   Steps: 10,  time: 1.23
Instance: 15,   Steps: 12,  time: 0.18
Instance: 16,   Steps: 7,  time: 0.11
Instance: 17,   Steps: 11,  time: 0.33
Instance: 18,   Steps: 6,  time: 0.04
Instance: 19,   Steps: 5,  time: 0.05
Instance: 20,   Steps: 7,  time: 0.06
Instance: 21,   Steps: 11,  time: 1.34
Instance: 22,   Steps: 9,  time: 0.35
Instance: 23,   Steps: 11,  time: 0.07
Instance: 24,   Steps: 11,  time: 0.09
Instance: 25,   Steps: 12,  time: 0.2
Instance: 26,   Steps: 10,  time: 0.23
Instance: 27,   Steps: 13,  time: 1.37
Instance: 28,   Steps: 11,  time: 0.33
Instance: 29,   Steps: 13,  time: 0.34
Instance: 30,   Steps: 9,  time: 0.04
Instance: 31,   Steps: 8,  time: 0.06
Instance: 32,   Steps: 13,  time: 1.09
Instance: 33,   Steps: 12,  time: 0.3
Instance: 34,   Steps: 9,  time: 0.15
Instance: 35,   Steps: 8,  time: 0.38
Instance: 36,   Steps: 13,  time: 0.81
Instance: 37,   Steps: 10,  time: 0.1
Instance: 38,   Steps: 13,  time: 0.6
Instance: 39,   Steps: 12,  time: 0.27
