=== Results of Benchmark ===
Function Type: DFS
Parameter: {'stop_param': 2, 'k': 6}
Total Time: 10.0 s
Total Steps: 412 steps
Max Time: 2.05
Average Steps: 10.3
Average Time: 0.25 s

=== Individual Solutions ===
Instance: 0,   Steps: 11,  time: 0.54
Instance: 1,   Steps: 10,  time: 0.07
Instance: 2,   Steps: 8,  time: 0.03
Instance: 3,   Steps: 11,  time: 0.17
Instance: 4,   Steps: 15,  time: 0.33
Instance: 5,   Steps: 12,  time: 0.17
Instance: 6,   Steps: 10,  time: 0.13
Instance: 7,   Steps: 12,  time: 0.11
Instance: 8,   Steps: 10,  time: 0.43
Instance: 9,   Steps: 3,  time: 0.01
Instance: 10,   Steps: 9,  time: 0.09
Instance: 11,   Steps: 11,  time: 0.15
Instance: 12,   Steps: 14,  time: 0.15
Instance: 13,   Steps: 11,  time: 0.17
Instance: 14,   Steps: 11,  time: 0.26
Instance: 15,   Steps: 12,  time: 0.3
Instance: 16,   Steps: 7,  time: 0.07
Instance: 17,   Steps: 11,  time: 0.08
Instance: 18,   Steps: 6,  time: 0.04
Instance: 19,   Steps: 5,  time: 0.05
Instance: 20,   Steps: 7,  time: 0.06
Instance: 21,   Steps: 10,  time: 0.43
Instance: 22,   Steps: 9,  time: 0.11
Instance: 23,   Steps: 10,  time: 0.05
Instance: 24,   Steps: 11,  time: 0.08
Instance: 25,   Steps: 12,  time: 0.71
Instance: 26,   Steps: 10,  time: 0.44
Instance: 27,   Steps: 13,  time: 0.56
Instance: 28,   Steps: 11,  time: 0.13
Instance: 29,   Steps: 13,  time: 0.27
Instance: 30,   Steps: 9,  time: 0.15
Instance: 31,   Steps: 8,  time: 0.05
Instance: 32,   Steps: 13,  time: 0.69
Instance: 33,   Steps: 12,  time: 0.16
Instance: 34,   Steps: 9,  time: 0.07
Instance: 35,   Steps: 8,  time: 0.29
Instance: 36,   Steps: 13,  time: 2.05
Instance: 37,   Steps: 10,  time: 0.06
Instance: 38,   Steps: 13,  time: 0.24
Instance: 39,   Steps: 12,  time: 0.04
